invoice_id,issue_date,vendor_cnpj,vendor_name,invoice_value,cfop,icms_rate,calculated_icms
1,2026-04-07,01.123.456/0001-01,Supplier Enterprise 01 Ltd,10928.425784947825,6102,0.12,1311.411094193739
2,2026-04-20,05.123.456/0001-05,Supplier Enterprise 05 Ltd,3812.5937493038314,5102,0.12,457.51124991645975
3,2026-04-29,09.123.456/0001-09,Supplier Enterprise 09 Ltd,14946.841782822758,6102,0.12,1793.6210139387308
4,2026-04-15,01.123.456/0001-01,Supplier Enterprise 01 Ltd,14634.500851128356,5405,0.12,1756.1401021354027
5,2026-04-11,03.123.456/0001-03,Supplier Enterprise 03 Ltd,9929.722452030584,5405,0.12,1191.56669424367
6,2026-04-08,04.123.456/0001-04,Supplier Enterprise 04 Ltd,3393.3655384726044,5405,0.12,407.2038646167125
7,2026-04-29,01.123.456/0001-01,Supplier Enterprise 01 Ltd,10363.309515253724,5405,0.12,1243.5971418304468
8,2026-04-21,01.123.456/0001-01,Supplier Enterprise 01 Ltd,1546.8769301980496,5102,0.12,185.62523162376596
9,2026-04-07,08.123.456/0001-08,Supplier Enterprise 08 Ltd,944.461281984188,6102,0.12,113.33535383810255
10,2026-04-26,02.123.456/0001-02,Supplier Enterprise 02 Ltd,4236.401883412598,5405,0.12,508.3682260095118
11,2026-04-19,08.123.456/0001-08,Supplier Enterprise 08 Ltd,7208.032872720087,5102,0.12,864.9639447264104
12,2026-04-23,07.123.456/0001-07,Supplier Enterprise 07 Ltd,13089.951328421517,6102,0.12,1570.794159410582
13,2026-04-11,10.123.456/0001-10,Supplier Enterprise 10 Ltd,11043.951511611467,6102,0.12,1325.274181393376
14,2026-04-11,10.123.456/0001-10,Supplier Enterprise 10 Ltd,11269.244557399725,5102,0.12,1352.309346887967
15,2026-04-24,02.123.456/0001-02,Supplier Enterprise 02 Ltd,6669.653349497093,5102,0.12,800.3584019396511
16,2026-04-21,06.123.456/0001-06,Supplier Enterprise 06 Ltd,5516.057391930963,5405,0.12,661.9268870317155
17,2026-04-04,06.123.456/0001-06,Supplier Enterprise 06 Ltd,5880.0620632767395,6102,0.12,705.6074475932087
18,2026-04-08,03.123.456/0001-03,Supplier Enterprise 03 Ltd,14820.918674172839,6102,0.12,1778.5102409007407
19,2026-04-24,02.123.456/0001-02,Supplier Enterprise 02 Ltd,1081.583275480996,5102,0.12,129.78999305771953
20,2026-04-03,01.123.456/0001-01,Supplier Enterprise 01 Ltd,13071.956693775504,6102,0.12,1568.6348032530605
21,2026-04-22,06.123.456/0001-06,Supplier Enterprise 06 Ltd,8890.793424299705,5405,0.12,1066.8952109159645
22,2026-04-21,05.123.456/0001-05,Supplier Enterprise 05 Ltd,6859.923578249061,6102,0.12,823.1908293898873
23,2026-04-02,09.123.456/0001-09,Supplier Enterprise 09 Ltd,11016.236076019479,5102,0.12,1321.9483291223373
24,2026-04-24,01.123.456/0001-01,Supplier Enterprise 01 Ltd,7556.699650658191,5102,0.12,906.8039580789829
25,2026-04-12,07.123.456/0001-07,Supplier Enterprise 07 Ltd,13164.636952184079,5405,0.12,1579.7564342620894
26,2026-04-30,05.123.456/0001-05,Supplier Enterprise 05 Ltd,13560.177028163249,5405,0.12,1627.2212433795899
27,2026-04-06,05.123.456/0001-05,Supplier Enterprise 05 Ltd,6614.953439665103,6102,0.12,793.7944127598124
28,2026-04-02,02.123.456/0001-02,Supplier Enterprise 02 Ltd,4514.003059908247,6102,0.12,541.6803671889896
29,2026-04-28,03.123.456/0001-03,Supplier Enterprise 03 Ltd,9089.079764603752,5102,0.12,1090.68957175245
30,2026-04-21,07.123.456/0001-07,Supplier Enterprise 07 Ltd,13729.268511442018,5405,0.12,1647.5122213730422
